pair,feature_name,source_table,best_horizon,max_corr,h15,h30,h45,h60,h75,h90,h105
eurjpy,reg_mean_180,reg_eurjpy,h45,0.9999,0.9998,0.9999,0.9999,0.9999,0.9999,0.9998,0.9998
eurjpy,agg_mean_180,agg_eurjpy,h45,0.9999,0.9998,0.9999,0.9999,0.9999,0.9999,0.9998,0.9998
usdjpy,val2,cov_reg_eurusd_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999
usdjpy,val2,cov_agg_eurusd_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999
usdjpy,val2,cov_agg_usdcad_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9999
usdjpy,val2,cov_reg_usdcad_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9999
usdjpy,reg_max_180,reg_usdjpy,h60,0.9999,0.9998,0.9998,0.9999,0.9999,0.9998,0.9998,0.9998
usdjpy,agg_max_180,agg_usdjpy,h60,0.9999,0.9998,0.9998,0.9999,0.9999,0.9998,0.9998,0.9998
usdjpy,val2,cov_agg_eurjpy_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_reg_eurjpy_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,high_lag_90,lag_usdjpy_90,h45,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,high_lag_45,lag_usdjpy_45,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_agg_nzdusd_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_reg_nzdusd_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,open_lag_45,lag_usdjpy_45,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
